state,combined_name,company_name,ticker,product_type,product_units,jan_2019,feb_2019,mar_2019,apr_2019,may_2019,jun_2019,jul_2019,aug_2019,sep_2019,oct_2019,nov_2019,dec_2019,jan_2020,feb_2020,mar_2020,apr_2020,may_2020,jun_2020,jul_2020,aug_2020,sep_2020,oct_2020,nov_2020,dec_2020,jan_2021,feb_2021
TX,"Slant Operating, Llc (Private)","Slant Operating, Llc",Private,flared gas,Mcf,842.0,761.0,842.0,772.0,378.0,507.0,1800.0,1796.0,2654.0,2966.0,1654.0,1644.0,1830.0,1822.0,1947.0,1865.0,473.0,2109.0,4643.0,6443.0,6235.0,1843.0,5990.0,5358.0,,
TX,"Slant Operating, Llc (Private)","Slant Operating, Llc",Private,equivalent co2 released,metric tons,46.1,41.7,46.1,42.3,20.7,27.8,98.6,98.4,145.4,162.5,90.6,90.1,100.3,99.8,106.7,102.2,25.9,115.6,254.4,353.1,341.7,101.0,328.3,293.6,,
TX,Smith Energy Operating Company (Private),Smith Energy Operating Company,Private,flared gas,Mcf,8805.0,7274.0,8325.0,8289.0,8372.0,7938.0,8690.0,8600.0,8287.0,9357.0,10337.0,11340.0,10631.0,9150.0,9759.0,6600.0,1944.0,4620.0,5356.0,6067.0,6647.0,6975.0,7538.0,7283.0,,
TX,Smith Energy Operating Company (Private),Smith Energy Operating Company,Private,equivalent co2 released,metric tons,482.5,398.6,456.2,454.2,458.8,435.0,476.2,471.3,454.1,512.8,566.5,621.4,582.6,501.4,534.8,361.7,106.5,253.2,293.5,332.5,364.3,382.2,413.1,399.1,,
TX,Sojourner Drilling Corporation (Private),Sojourner Drilling Corporation,Private,flared gas,Mcf,2790.0,2520.0,2790.0,2700.0,,2700.0,2790.0,2790.0,2790.0,2790.0,2700.0,2790.0,2790.0,2610.0,2790.0,2700.0,2790.0,2700.0,2790.0,2790.0,2700.0,2790.0,2700.0,2790.0,,
TX,Sojourner Drilling Corporation (Private),Sojourner Drilling Corporation,Private,equivalent co2 released,metric tons,152.9,138.1,152.9,148.0,,148.0,152.9,152.9,152.9,152.9,148.0,152.9,152.9,143.0,152.9,148.0,152.9,148.0,152.9,152.9,148.0,152.9,148.0,152.9,,
TX,"South Leeville, Llc (Private)","South Leeville, Llc",Private,flared gas,Mcf,,,,,,,,,,,,,,,,,108.0,,,,,,,,,
TX,"South Leeville, Llc (Private)","South Leeville, Llc",Private,equivalent co2 released,metric tons,,,,,,,,,,,,,,,,,5.9,,,,,,,,,
TX,South Texas Operating Company (Private),South Texas Operating Company,Private,flared gas,Mcf,100.0,100.0,105.0,110.0,115.0,110.0,115.0,110.0,115.0,105.0,100.0,100.0,105.0,100.0,344.0,100.0,110.0,115.0,105.0,100.0,100.0,100.0,105.0,100.0,,
TX,South Texas Operating Company (Private),South Texas Operating Company,Private,equivalent co2 released,metric tons,5.5,5.5,5.8,6.0,6.3,6.0,6.3,6.0,6.3,5.8,5.5,5.5,5.8,5.5,18.9,5.5,6.0,6.3,5.8,5.5,5.5,5.5,5.8,5.5,,
TX,Southern Energy & Exploration Co (Private),Southern Energy & Exploration Co,Private,flared gas,Mcf,,,,,,,,,,,,,,,,,190.0,1630.0,,,,,,,,
TX,Southern Energy & Exploration Co (Private),Southern Energy & Exploration Co,Private,equivalent co2 released,metric tons,,,,,,,,,,,,,,,,,10.4,89.3,,,,,,,,
TX,"Square Mile Energy, L.L.C. (Private)","Square Mile Energy, L.L.C.",Private,flared gas,Mcf,,,,5668.0,,,,,,,,,,,,,,,,,,,,,,
TX,"Square Mile Energy, L.L.C. (Private)","Square Mile Energy, L.L.C.",Private,equivalent co2 released,metric tons,,,,310.6,,,,,,,,,,,,,,,,,,,,,,
TX,"Steadfast Oil & Gas, Llc (Private)","Steadfast Oil & Gas, Llc",Private,flared gas,Mcf,,,,,,175.0,344.0,388.0,417.0,464.0,449.0,513.0,987.0,1096.0,1208.0,1208.0,1216.0,1256.0,760.0,1242.0,1107.0,1242.0,1172.0,1228.0,,
TX,"Steadfast Oil & Gas, Llc (Private)","Steadfast Oil & Gas, Llc",Private,equivalent co2 released,metric tons,,,,,,9.6,18.9,21.3,22.9,25.4,24.6,28.1,54.1,60.1,66.2,66.2,66.6,68.8,41.6,68.1,60.7,68.1,64.2,67.3,,
TX,"Steward Energy Ii, Llc (Private)","Steward Energy Ii, Llc",Private,flared gas,Mcf,435647.0,329497.0,407779.0,200102.0,188128.0,220574.0,129901.0,114243.0,82318.0,47552.0,46325.0,71298.0,59783.0,61624.0,84801.0,35774.0,49982.0,48406.0,48760.0,56109.0,49850.0,142126.0,58862.0,71647.0,,
TX,"Steward Energy Ii, Llc (Private)","Steward Energy Ii, Llc",Private,equivalent co2 released,metric tons,23873.5,18056.4,22346.3,10965.6,10309.4,12087.5,7118.6,6260.5,4511.0,2605.8,2538.6,3907.1,3276.1,3377.0,4647.1,1960.4,2739.0,2652.6,2672.0,3074.8,2731.8,7788.5,3225.6,3926.3,,
TX,"Stone Creek Operating, Llc (Private)","Stone Creek Operating, Llc",Private,flared gas,Mcf,,,,,,,,,46.0,1245.0,5206.0,10936.0,12050.0,9078.0,5206.0,3189.0,3174.0,2990.0,3050.0,3139.0,3118.0,3268.0,3079.0,3088.0,,
TX,"Stone Creek Operating, Llc (Private)","Stone Creek Operating, Llc",Private,equivalent co2 released,metric tons,,,,,,,,,2.5,68.2,285.3,599.3,660.3,497.5,285.3,174.8,173.9,163.9,167.1,172.0,170.9,179.1,168.7,169.2,,
TX,Story Nrg Llc (Private),Story Nrg Llc,Private,flared gas,Mcf,45.0,30.0,50.0,50.0,51.0,40.0,50.0,50.0,40.0,40.0,45.0,,,,,,,,,,,,,,,
TX,Story Nrg Llc (Private),Story Nrg Llc,Private,equivalent co2 released,metric tons,2.5,1.6,2.7,2.7,2.8,2.2,2.7,2.7,2.2,2.2,2.5,,,,,,,,,,,,,,,
TX,"Strand Energy, L.C. (Private)","Strand Energy, L.C.",Private,flared gas,Mcf,893.0,641.0,548.0,668.0,668.0,613.0,667.0,628.0,578.0,582.0,547.0,614.0,614.0,1858.0,2149.0,4192.0,2395.0,12214.0,10458.0,14817.0,13322.0,14350.0,13271.0,13849.0,,
TX,"Strand Energy, L.C. (Private)","Strand Energy, L.C.",Private,equivalent co2 released,metric tons,48.9,35.1,30.0,36.6,36.6,33.6,36.6,34.4,31.7,31.9,30.0,33.6,33.6,101.8,117.8,229.7,131.2,669.3,573.1,812.0,730.0,786.4,727.3,758.9,,
TX,"Stronghold Energy Ii Oper, Llc (Private)","Stronghold Energy Ii Oper, Llc",Private,flared gas,Mcf,,,41776.0,62633.0,67237.0,72803.0,69195.0,25824.0,19799.0,3349.0,5219.0,,885.0,166406.0,183137.0,836.0,27711.0,44616.0,,,42424.0,1055.0,26.0,,,
TX,"Stronghold Energy Ii Oper, Llc (Private)","Stronghold Energy Ii Oper, Llc",Private,equivalent co2 released,metric tons,,,2289.3,3432.3,3684.6,3989.6,3791.9,1415.2,1085.0,183.5,286.0,,48.5,9119.0,10035.9,45.8,1518.6,2445.0,,,2324.8,57.8,1.4,,,
TX,"Subsurface Production, Inc. (Private)","Subsurface Production, Inc.",Private,flared gas,Mcf,430.0,350.0,505.0,730.0,730.0,530.0,630.0,630.0,520.0,440.0,630.0,500.0,520.0,550.0,580.0,220.0,300.0,350.0,485.0,390.0,350.0,430.0,,255.0,,
TX,"Subsurface Production, Inc. (Private)","Subsurface Production, Inc.",Private,equivalent co2 released,metric tons,23.6,19.2,27.7,40.0,40.0,29.0,34.5,34.5,28.5,24.1,34.5,27.4,28.5,30.1,31.8,12.1,16.4,19.2,26.6,21.4,19.2,23.6,,14.0,,
TX,"Sulphur River Exploration, Inc. (Private)","Sulphur River Exploration, Inc.",Private,flared gas,Mcf,2846.0,2572.0,2976.0,2900.0,3351.0,3402.0,4145.0,4330.0,4387.0,4366.0,4366.0,4270.0,4211.0,3874.0,4186.0,3994.0,3105.0,1683.0,1683.0,2618.0,2705.0,2816.0,2729.0,2793.0,,
TX,"Sulphur River Exploration, Inc. (Private)","Sulphur River Exploration, Inc.",Private,equivalent co2 released,metric tons,156.0,140.9,163.1,158.9,183.6,186.4,227.1,237.3,240.4,239.3,239.3,234.0,230.8,212.3,229.4,218.9,170.2,92.2,92.2,143.5,148.2,154.3,149.5,153.1,,
TX,"Sutherland Energy Co., Llc (Private)","Sutherland Energy Co., Llc",Private,flared gas,Mcf,2286.0,2156.0,2220.0,2212.0,2098.0,2061.0,2089.0,2004.0,1840.0,1859.0,1670.0,1554.0,1563.0,1290.0,1323.0,1143.0,542.0,1126.0,1449.0,1266.0,1099.0,1120.0,941.0,968.0,,
TX,"Sutherland Energy Co., Llc (Private)","Sutherland Energy Co., Llc",Private,equivalent co2 released,metric tons,125.3,118.1,121.7,121.2,115.0,112.9,114.5,109.8,100.8,101.9,91.5,85.2,85.7,70.7,72.5,62.6,29.7,61.7,79.4,69.4,60.2,61.4,51.6,53.0,,
TX,"T-Post Production, Llc (Private)","T-Post Production, Llc",Private,flared gas,Mcf,,,,,,,,,,,,,,174.0,186.0,180.0,185.0,180.0,186.0,186.0,180.0,180.0,186.0,186.0,,
TX,"T-Post Production, Llc (Private)","T-Post Production, Llc",Private,equivalent co2 released,metric tons,,,,,,,,,,,,,,9.5,10.2,9.9,10.1,9.9,10.2,10.2,9.9,9.9,10.2,10.2,,
TX,Taylor & Smith (Private),Taylor & Smith,Private,flared gas,Mcf,,,,,,,,,,,,,,,,,,,,21.0,,,,,,
TX,Taylor & Smith (Private),Taylor & Smith,Private,equivalent co2 released,metric tons,,,,,,,,,,,,,,,,,,,,1.2,,,,,,
TX,"Teal Operating, Llc (Private)","Teal Operating, Llc",Private,flared gas,Mcf,320.0,,109.0,174.0,195.0,210.0,216.0,217.0,796.0,7938.0,958.0,1688.0,1826.0,998.0,5698.0,2889.0,5899.0,1489.0,,9665.0,3404.0,285.0,2687.0,19694.0,,
TX,"Teal Operating, Llc (Private)","Teal Operating, Llc",Private,equivalent co2 released,metric tons,17.5,,6.0,9.5,10.7,11.5,11.8,11.9,43.6,435.0,52.5,92.5,100.1,54.7,312.3,158.3,323.3,81.6,,529.6,186.5,15.6,147.2,1079.2,,
TX,"Terlingua Operating, Llc (Private)","Terlingua Operating, Llc",Private,flared gas,Mcf,,,,,612.0,,,,,,,,,,,,,,,,,,,,,
